Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Blood	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	"Spl,Mas,Skil"	Use%	"Spl,Mas,Skil"	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
114	Ruby Dragon	Crystal Dragon C	138	1242	261	20676	400D10+L6	0	N	Short	Aggress	4	300	60	2	0	Phys	74D75+23	Ener	50	Phys	74D75+23	Ener	138	"Acid Burst,M,54"	0	"Day of Protection,M,4"	195	125	195	195	195	125	195	195	195	0	0
115	Mist Hawk	Thunderbird A	54	535	203	3878	20D30	1	Y	Long	Normal	4	250	90	0	0	Phys	46D47+18	0	0	0	0	0	54	"Lightning Bolt,M,15"	0	0	130	Imm	130	95	130	60	130	60	60	0	0
116	Storm Eagle	Thunderbird B	70	609	218	5429	25D30	1	Y	Med	Aggress	4	260	80	0	0	Phys	53D53+18	0	0	0	0	0	70	"Lightning Bolt,M,26"	0	0	145	Imm	145	110	145	75	145	75	75	0	0
117	Thunderbird	Thunderbird C	91	695	233	7600	30D30	1	Y	Short	Suicidal	4	300	70	2	0	Phys	60D61+15	0	0	0	0	0	91	"Lightning Bolt,M,38"	0	0	160	Imm	160	125	160	90	160	90	90	0	0
118	Wasp Worker	Wasp Warrior A	15	82	93	375	20%5d7+L1Dagger	0	Y	Long	Aggress	4	300	90	0	0	Phys	24D25+5	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	Wasp Sentry	Wasp Warrior B	19	93	108	525	20%5d9+L1Sword	0	Y	Long	Aggress	4	310	90	0	0	Phys	27D28+11	0	0	0	0	0	19	0	0	0	10	10	10	10	10	10	10	10	10	0	0
120	Wasp Warrior	Wasp Warrior C	25	106	123	735	20%5d11+L2Sword	0	Y	Long	Suicidal	4	320	80	0	0	Phys	31D32+17	0	0	0	0	0	25	0	0	0	20	20	20	20	20	20	20	20	20	0	0
121	Wyvern 	Wyvern A	23	151	189	769	10D15	1	Y	Free	Normal	4	250	80	d	Poison3x6	Phys	30D30+28	0	0	0	0	0	23	0	0	0	95	95	25	95	95	25	25	25	25	0	0
122	Horned Wyvern	Wyvern B	29	172	204	1076	10D20	1	Y	Long	Aggress	4	280	70	d	Poison3x8	Phys	34D34+15	0	0	0	0	0	29	0	0	0	110	110	40	110	110	40	40	40	40	0	0
123	Ancient Wyvern	Wyvern C	38	196	219	1506	10D30	1	Y	Med	Suicidal	4	320	60	d	Poison3x10	Phys	39D39+13	0	0	0	0	0	38	0	0	0	125	125	55	125	125	55	55	55	55	0	0
124	Brass Gorgon	Gorgon A	28	251	218	1129	5D20	1	N	Med	Normal	2	200	90	0	Deadx10	Phys	33D34+8	0	0	0	0	0	28	0	0	0	95	95	95	25	95	25	95	95	95	0	0
125	Bronze Gorgon	Gorgon B	36	286	233	1580	10D20	1	N	Med	Aggress	2	220	90	0	Deadx20	Phys	38D38+9	0	0	0	0	0	36	0	0	0	110	110	110	40	110	40	110	110	110	0	0
126	Iron Gorgon	Gorgon C	47	326	248	2212	15D20	1	N	Short	Suicidal	2	240	80	0	Erradx20	Phys	43D44+6	0	0	0	0	0	47	0	0	0	125	125	125	55	125	55	125	125	125	0	0
127	Fire Newt	Salamander A	40	374	201	2323	11D20	0	N	Long	Normal	2	250	90	0	0	Phys	40D40+15	0	0	0	0	0	40	"Fire Bolt,M,15"	0	0	Imm	130	60	130	130	60	130	60	60	0	0
128	Fire Lizard	Salamander B	52	426	216	3252	17D20	0	N	Med	Aggress	2	260	80	0	0	Phys	45D46+30	0	0	0	0	0	52	"Fire Bolt,M,28"	0	0	Imm	145	75	145	145	75	145	75	75	0	0
129	Salamander 	Salamander C	67	486	231	4552	21D20	0	N	Short	Suicidal	2	300	70	2	0	Phys	52D52+1	0	0	0	0	0	67	"Fire Bolt,M,50"	0	0	Imm	160	90	160	160	90	160	90	90	0	0
130	Fire Bird	Phoenix A	48	512	207	2984	11D20	0	Y	Long	Normal	4	250	90	0	0	Phys	44D44+2	0	0	0	0	0	48	"Fire Bolt,M,25"	0	0	Imm	130	60	130	130	60	130	60	60	0	0
131	Phoenix	Phoenix B	62	583	222	4177	17D20	0	Y	Med	Aggress	4	260	80	0	0	Phys	50D50+3	0	0	0	0	0	62	"Fire Bolt,M,42"	0	0	Imm	145	75	145	145	75	145	75	75	0	0
132	Grand Phoenix	Phoenix C	81	665	237	5847	21D20	0	Y	Short	Suicidal	4	300	70	2	0	Phys	57D57+22	0	0	0	0	0	81	"Dispel Magic,E,4"	0	"Fire Bolt,M,64"	Imm	160	90	160	160	90	160	90	90	0	0
133	Triton 	Triton A	26	196	198	980	15%10d9+L1Spear	0	N	Long	Normal	2	250	90	0	0	Phys	32D32+26	0	0	0	0	0	26	0	0	0	77	95	Imm	77	77	95	95	95	95	0	0
134	Triton Warrior	Triton B	33	223	213	1372	15%10d13+L2Spear	0	N	Med	Aggress	2	260	80	0	0	Phys	36D37	0	0	0	0	0	33	0	0	0	92	110	Imm	92	92	110	110	110	110	0	0
135	Triton Crusader	Triton C	43	254	228	1920	15%10d15+L3Spear	0	N	Short	Suicidal	2	300	70	0	0	Phys	41D42+14	0	0	0	0	0	43	0	0	0	107	125	Imm	107	107	125	125	125	125	0	0
136	Young Dragon Turtle	Dragon Turtle A	68	732	255	5275	25%10D25+L4Sword	0	N	Med	Aggress	2	200	70	0	0	Phys	52D52+42	0	0	0	0	0	68	"Acid Burst,M,19"	0	0	165	165	Imm	165	165	165	165	165	165	0	0
137	Dragon Turtle	Dragon Turtle B	88	834	270	7384	25%10D25+L5Spear	0	N	Short	Suicidal	2	200	70	0	0	Phys	59D60+13	0	0	0	0	0	88	"Acid Burst,M,26"	0	0	180	180	Imm	180	180	180	180	180	180	0	0
138	Elder Tortoise	Dragon Turtle C	114	951	285	10337	25%10D25+L5Dagger	0	N	Short	Suicidal	2	200	70	0	0	Phys	67D68+47	0	0	0	0	0	114	"Acid Burst,M,41"	0	0	195	195	Imm	195	195	195	195	195	195	0	0
139	Rook	Raven Man A	46	467	165	3211	30%10D25+L3Sword	1	Y	Long	Aggress	4	240	90	0	0	Phys	43D43+8	0	0	0	0	0	46	0	0	0	95	Imm	130	95	95	60	95	130	130	0	0
140	Corbie	Raven Man B	59	532	180	4495	40%10D25+L4Sword	1	Y	Long	Aggress	4	260	80	0	0	Phys	48D49+30	0	0	0	0	0	59	0	0	0	110	Imm	145	110	110	75	110	145	145	0	0
141	Raven	Raven Man C	77	607	195	6293	50%10D25+L5Sword	1	Y	Long	Aggress	4	280	70	0	0	Phys	55D56+29	0	0	0	0	0	77	0	0	0	125	Imm	160	125	125	90	125	160	160	0	0
142	Boulder	Malevolent Boulder A	18	113	204	725	25%15D15+L3Ore	0	N	Long	Normal	3	250	90	2	0	Phys	26D27+24	0	25	Phys	26D27+24	Rock	18	"Blades,E,8"	0	0	95	25	95	Imm	60	25	60	25	25	0	"explode,4D5,earth"
143	Boulder	Malevolent Boulder B	23	128	219	1014	35%20D20+L4Ore	0	N	Med	Aggress	3	260	80	2	0	Phys	30D30+28	0	25	Phys	30D30+28	Rock	23	"Blades,M,14"	0	0	110	40	110	Imm	75	40	75	40	40	0	"explode,4D5,earth"
144	Boulder	Malevolent Boulder C	30	146	234	1419	45%25D25+L5Ore	0	N	Short	Suicidal	3	300	70	3	0	Phys	34D35+21	0	25	Phys	34D35+21	Rock	30	"Rock Blast,N,10"	0	0	125	55	125	Imm	90	55	90	55	55	0	"explode,4D5,earth"
145	Plane Guardian	Plane Guardian A	74	658	226	5275	30%200D10+L5	1	N	Med	Suicidal	2	200	70	0	0	Phys	54D55+18	0	0	0	0	0	74	0	0	0	165	165	95	165	95	130	130	95	165	0	0
146	Plane Protector	Plane Guardian B	96	750	241	7384	30%250D10+L5	1	N	Short	Suicidal	2	200	70	0	0	Phys	62D62+33	0	0	0	0	0	96	0	0	0	180	180	110	180	110	145	145	110	180	0	0
147	Plane Overlord	Plane Guardian C	125	855	256	10337	40%300D10+L6	1	N	Short	Suicidal	2	200	70	0	0	Phys	71D71+7	0	0	0	0	0	125	0	0	0	195	195	125	195	125	160	160	125	195	0	0
148	Crystal Walker	Crystal Walker A	82	727	226	5963	30%200D10+L5	0	N	Short	Suicidal	3	280	90	0	Paralyze	Phys	57D58+5	0	35	Phys	57D58+5	Air	82	0	0	0	165	95	165	165	130	95	165	95	95	0	0
149	Crystal Sentry	Crystal Walker B	106	828	241	8348	30%250D10+L5	0	N	Short	Suicidal	3	280	80	0	Paralyze	Phys	65D65+55	0	45	Phys	65D65+55	Air	106	0	0	0	180	110	180	180	145	110	180	110	110	0	0
150	Crystal Guardian	Crystal Walker C	138	945	256	11687	30%300D10+L6	0	N	Short	Suicidal	3	330	70	0	Paralyze	Phys	74D75+23	0	55	Phys	74D75+23	Air	138	"Dispel Magic,E,4"	0	0	195	125	195	195	160	125	195	125	125	0	0
151	Fear	Nightmare A	65	658	225	5045	25%8D30+L3Ring	1	N	Med	Aggress	3	200	70	2	Afraidx3	Phys	51D51+24	0	0	0	0	0	65	"Pain Reflection,M,7"	0	0	116	116	116	116	116	96	116	116	116	0	0
152	Terror	Nightmare B	84	750	240	7063	25%8D30+L4Ring	1	N	Short	Suicidal	3	200	70	2	Insanex3	Phys	58D58+28	0	0	0	0	0	84	"Pain Reflection,M,10"	0	0	131	131	131	131	131	111	131	131	131	0	0
153	Nightmare	Nightmare C	109	855	255	9888	25%8D30+L5Ring	1	N	Short	Suicidal	3	200	70	3	Insanex3	Phys	66D66+46	0	0	0	0	0	109	"Pain Reflection,M,13"	0	0	146	146	146	146	146	126	146	146	146	0	0
154	Ether Knight	Ether Knight A	48	455	214	2682	30%10d25+L5Chain	1	N	Med	Normal	2	220	70	0	DrainSP	Phys	44D44+2	0	20	Air	44D44+2	Air	48	0	0	0	130	130	130	60	95	60	130	130	130	0	0
155	Ether Champion	Ether Knight B	62	518	229	3754	30%10d25+L5Plate	1	N	Med	Aggress	2	240	70	0	DrainSP	Phys	50D50+3	0	40	Water	50D50+3	Water	62	0	0	0	145	145	145	75	110	75	145	145	145	0	0
156	Ether Lord	Ether Knight C	81	591	244	5255	30%10d25+L5Sword	1	N	Short	Aggress	2	280	70	0	DrainSP	Phys	57D57+22	0	60	Fire	57D57+22	Fire	81	0	0	0	160	160	160	90	125	90	160	160	160	0	0
157	Charger	Juggernaut A	52	560	208	3383	20%5D50+L1Ore	0	N	Long	Normal	2	250	80	0	0	Phys	45D46+30	0	0	0	0	0	52	0	0	0	130	60	130	Imm	130	60	60	60	60	0	0
158	Juggernaut	Juggernaut B	67	638	223	4736	30%10D50+L3Ore	0	N	Med	Aggress	2	260	70	0	0	Phys	52D52+1	0	0	0	0	0	67	0	0	0	145	75	145	Imm	145	75	75	75	75	0	0
159	Demolisher	Juggernaut C	87	728	238	6630	40%15D50+L6Ore	0	N	Short	Suicidal	2	300	60	0	0	Phys	59D59+32	0	0	0	0	0	87	"Day of Protection,M,4"	0	0	160	90	160	Imm	160	90	90	90	90	0	0
160	Smoke Gog	Gog A	11	50	80	240	5d15	1	N	Short	Normal	3	265	90	0	0	Fire	21D21+3	Fire	0	0	0	0	11	"Fire Bolt,E,7"	0	0	88	18	18	18	18	18	18	18	18	0	"explode,2D5,fire"
161	Ember Gog	Gog B	14	56	95	336	8d15	1	N	Short	Normal	3	285	85	0	0	Fire	23D24+13	Fire	0	0	0	0	14	"Fire Bolt,E,9"	0	0	100	34	34	34	34	34	34	34	34	0	"explode,3D5,fire"
162	Fire Gog	Gog C	18	65	110	470	11d15	1	N	Short	Aggress	3	300	80	0	0	Fire	26D27+24	Fire	0	0	0	0	18	"Fireball,E,5"	0	0	113	50	50	50	50	50	50	50	50	0	"explode,4D5,fire"
163	Skeletal Dragon	Bone Dragon A	42	344	212	2110	35%10D20+L2Amulet	0	Y	Short	Aggress	4	140	95	0	Afraidx3	Dark	41D41+15	Dark	0	0	0	0	42	0	0	0	60	130	130	130	Imm	60	130	60	Imm	0	0
164	Bone Dragon	Bone Dragon B	54	392	227	2954	25%15D20+L3Amulet	0	Y	Short	Aggress	4	160	95	0	Cursex3	Dark	46D47+18	Dark	0	0	0	0	54	"Pain Reflection,M,7"	0	0	75	145	145	145	Imm	75	145	75	Imm	0	0
165	Undead Dragon	Bone Dragon C	70	447	242	4135	15%18D20+L4Amulet	0	Y	Short	Suicidal	4	180	95	0	Insanex3	Dark	53D53+18	Dark	0	0	0	0	70	"Pain Reflection,M,7"	0	0	90	160	160	160	Imm	90	160	90	Imm	0	0
166	Human Peasant	Bedraggled Human (peasant) A	1	5	0	16	1	1	N	Long	Wimp	4	140	100	0	0	Phys	6D6+4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	Human Peasant	Bedraggled Human (peasant) B	1	5	0	22	1	1	N	Long	Wimp	4	140	100	0	0	Phys	6D6+4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	Human Peasant	Bedraggled Human (peasant) C	1	6	0	30	1	1	N	Long	Wimp	4	140	100	0	0	Phys	6D6+4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	Naga 	Naga A	37	324	195	1376	5%5D20+L1Sword	0	N	Short	Normal	2	185	70	o	Poison3x5	Phys	38D39+12	0	20	Water	38D39+12	0	37	"Blades,N,6"	0	0	95	25	95	95	25	45	95	25	25	0	0
170	Naga Warrior	Naga B	48	369	210	1926	10%7D20+L2Sword	0	N	Short	Aggress	2	210	70	o	Poison3x10	Phys	44D44+2	0	20	Water	44D44+2	0	48	"Blades,N,9"	0	0	110	40	110	110	40	60	110	40	40	0	0
171	Naga Queen	Naga C	62	421	225	2696	15%10D20+L3Sword	0	N	Short	Suicidal	2	235	50	o	Poison3x20	Phys	50D50+3	0	20	Water	50D50+3	0	62	"Blades,N,12"	0	0	125	55	125	125	55	75	125	55	55	0	0
172	Skeleton Bowman	Skeletons Archer A	11	54	144	226	5%5D20+L1Bow	0	N	Short	Normal	3	140	90	0	0	Phys	21D21+3	Arrow	10	Fire	21D21+3	FireAr	11	0	0	0	0	0	0	0	Imm	0	0	0	97	0	0
173	Skeleton Hunter	Skeletons Archer B	14	61	159	316	10%7D20+L2Bow	0	N	Short	Aggress	3	150	90	0	0	Phys	23D24+13	Arrow	10	Fire	23D24+13	FireAr	14	0	0	0	10	10	10	10	Imm	10	10	10	120	0	0
174	Skeleton Archer 	Skeletons Archer C	18	70	174	442	15%10D20+L3Bow	0	N	Short	Aggress	3	160	80	0	0	Phys	26D27+24	Arrow	15	Fire	26D27+24	FireAr	18	0	0	0	20	20	20	20	Imm	20	20	20	144	0	0
175	Dark Dwarf Grunt	Dark Dwarf A	19	119	202	583	20%15D8+L1Gem	1	N	Med	Aggress	2	240	90	0	0	Phys	27D28+11	0	0	0	0	0	19	0	0	0	42	42	42	Imm	7	42	42	7	7	0	0
176	Dark Dwarf Pounder	Dark Dwarf B	24	135	217	816	20%15D10+L2Gem	1	N	Med	Aggress	2	260	80	0	0	Phys	31D31+8	0	0	0	0	0	24	0	0	0	61	61	61	Imm	15	61	61	15	15	0	0
177	Dark Dwarf Berserker	Dark Dwarf C	32	154	232	1142	40%15D16+L3Gem	1	N	Med	Aggress	2	280	70	0	0	Phys	35D36+32	0	0	0	0	0	32	0	0	0	80	80	80	Imm	27	80	80	27	27	0	0
178	Fish	School of Fish (non-combatant) A	0	2	0	7	0	0	N	Long	Wimp	4	140	100	0	0	Phys	1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	Fish	School of Fish (non-combatant) B	0	2	5	9	0	0	N	Long	Wimp	4	140	100	0	0	Phys	1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	Fish	School of Fish (non-combatant) C	0	2	10	12	0	0	N	Long	Wimp	4	140	100	0	0	Phys	1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	Pirate	Wimpy Pirate Warrior Male A	4	31	10	172	5D2	1	N	Long	Normal	2	155	90	0	0	Phys	12D13+5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	Buccaneer	Wimpy Pirate Warrior Male B	5	35	25	240	7D2	1	N	Long	Aggress	2	175	80	0	0	Phys	14D14+5	0	0	0	0	0	5	0	0	0	10	10	10	10	10	10	10	10	10	0	0
183	Corsair	Wimpy Pirate Warrior Male C	6	40	40	336	60%10D2+L1Sword	1	N	Free	Suicidal	2	195	70	0	0	Phys	15D16+2	0	0	0	0	0	6	0	0	0	20	20	20	20	20	20	20	20	20	0	0
184	Regnan Crossbowman	Wimpy Pirate Crossbowman (Female) A	5	35	10	206	5D2	1	N	Long	Normal	3	110	100	0	0	Phys	14D14+5	Arrow	20	Phys	14D28+5	Arrow	5	0	0	0	10	10	10	10	0	10	10	10	10	0	0
185	Regnan Arbalester	Wimpy Pirate Crossbowman (Female) B	6	39	25	288	7D2	1	N	Long	Aggress	3	130	100	0	0	Phys	15D16+2	Arrow	30	Phys	15D30+2	Arrow	6	0	0	0	25	25	25	25	10	25	25	25	25	0	0
186	Regnan Lieutenant	Wimpy Pirate Crossbowman (Female) C	8	45	40	403	60%10D2+L1Bow	1	N	Free	Suicidal	3	160	90	0	0	Phys	17D19	Arrow	40	Phys	17D38	Arrow	8	0	0	0	40	40	40	40	20	40	40	40	40	0	0
187	Pirate Seer	Wimpy Pirate Mage Male A	28	231	178	1410	5D2	1	N	Long	Aggress	3	110	90	0	0	Phys	33D34+8	0	0	0	0	0	28	"Fire Bolt,E,12"	0	0	60	60	60	60	25	60	60	60	60	0	0
188	Pirate Magi	Wimpy Pirate Mage Male B	36	263	193	1973	7D2	1	N	Long	Aggress	3	130	80	0	0	Phys	38D38+9	0	0	0	0	0	36	"Lightning Bolt,E,12"	0	0	75	75	75	75	40	75	75	75	75	0	0
189	Pirate Wizard	Wimpy Pirate Mage Male C	47	300	208	2762	50%10D2+L1Scroll	1	N	Long	Aggress	3	150	70	0	0	Phys	43D44+6	0	0	0	0	0	47	"Poison Spray,E,12"	0	0	90	90	90	90	55	90	90	90	90	0	0
190	Hatchling	Wimpy Dragon A	30	251	207	1410	4D8	0	Y	Med	Aggress	4	180	70	k	0	Fire	34D35+21	Fire	0	0	0	0	30	0	0	0	95	95	95	25	60	25	95	25	25	0	0
191	Dragonette	Wimpy Dragon B	39	286	222	1973	4D12	0	Y	Med	Aggress	4	160	70	k	0	Fire	39D40+15	Fire	0	0	0	0	39	0	0	0	110	110	110	40	75	40	110	40	40	0	0
192	Young Dragon	Wimpy Dragon C	50	326	237	2762	4D20	0	Y	Short	Aggress	4	140	70	k	0	Fire	44D45+39	Fire	0	0	0	0	50	0	0	0	125	125	125	55	90	55	125	55	55	0	0
193	Soldier of Fortune	Human Mercenary A	14	74	175	338	5d6	1	N	Long	Aggress	2	265	90	0	0	Phys	23D24+13	0	0	0	0	0	14	0	0	0	20	20	20	20	0	20	20	0	0	0	0
194	Mercenary	Human Mercenary B	18	84	190	473	15%5d6+L2Sword	1	N	Med	Aggress	2	285	80	0	0	Phys	26D27+24	0	0	0	0	0	18	0	0	0	40	40	40	40	10	40	40	0	0	0	0
195	Mercenary Captain	Human Mercenary C	23	96	205	662	25%5d6+L3Sword	1	N	Short	Aggress	2	300	70	0	0	Phys	30D30+28	0	0	0	0	0	23	0	0	0	59	59	59	59	20	59	59	0	0	0	0
196	Chaos Guardian	Wimpy Plane Guardian A	71	658	225	5275	30%200D10+L5	0	N	Med	Suicidal	2	200	70	0	0	Phys	53D54+5	0	0	0	0	0	71	0	0	0	165	165	95	165	130	95	165	95	165	0	0
197	Chaos Protector	Wimpy Plane Guardian B	92	750	240	7384	30%250D10+L5	0	N	Short	Suicidal	2	200	70	0	0	Phys	60D61+55	0	0	0	0	0	92	0	0	0	180	180	110	180	145	110	180	110	180	0	0
198	Chaos Overlord	Wimpy Plane Guardian C	119	855	255	10337	30%300D10+L6	0	N	Short	Suicidal	2	200	70	0	0	Phys	69D69+44	0	0	0	0	0	119	0	0	0	195	195	125	195	160	125	195	125	195	0	0
199	Angel	Angel A	41	386	210	2866	5%50D20+L4Sword	1	Y	Free	Aggress	3	250	60	0	0	Phys	40D41+15	0	0	0	0	0	41	"Light Bolt,M,12"	0	0	95	95	95	95	95	95	95	Imm	60	0	0
200	Angel Lord	Angel B	53	440	225	4012	10%75D20+L5Sword	1	Y	Free	Aggress	3	275	50	0	0	Phys	46D46+24	0	0	0	0	0	53	"Light Bolt,M,18"	0	"Day of Protection,M,12"	110	110	110	110	110	110	110	Imm	75	0	0
201	Archangel	Angel C	69	501	240	5616	15%100D20+L6Sword	1	Y	Free	Suicidal	3	300	40	2	0	Phys	52D53+30	0	0	0	0	0	69	"Light Bolt,G,22"	0	"Hour of Power,G,16"	125	125	125	125	125	125	125	Imm	90	0	0
202	Archer	Archer A	15	90	156	425	5%3D20+L1Bow	1	N	Short	Normal	4	140	90	AR	0	Phys	24D25+5	Arrow	10	Fire	24D25+5	FireAr	15	0	0	"Shield,N,4"	18	18	18	18	0	36	36	0	0	0	0
203	Bowman	Archer B	19	102	171	595	5%6D20+L2Bow	1	N	Short	Aggress	4	150	90	AR	0	Phys	27D28+11	Arrow	10	Fire	27D28+11	FireAr	19	"Lightning Bolt,E,11"	0	"Shield,E,8"	40	40	40	40	10	40	57	10	10	0	0
204	Elite Archer	Archer C	25	117	186	833	10%10D20+L3Bow	1	N	Short	Aggress	4	160	80	AR	0	Phys	31D32+17	Arrow	15	Fire	31D32+17	FireAr	25	"Lightning Bolt,M,17"	0	"Shield,M,12"	61	61	61	61	20	44	79	20	20	0	0
205	Giant Bat	Bat A	2	12	0	137	0	1	Y	Free	Normal	3	280	50	0	Disease1	Phys	8D10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	Vampire Bat	Bat B	2	13	15	191	5%L1Ring	1	Y	Free	Normal	3	300	50	0	Disease1	Phys	8D10	0	0	0	0	0	2	0	0	0	10	10	10	10	10	10	10	10	10	0	0
207	Inferno Bat	Bat C	3	15	30	267	5%L2Ring	1	Y	Free	Aggress	3	320	50	0	Disease2	Phys	11D11	0	15	Fire	11D11	Fire	3	0	0	0	20	20	20	20	20	20	20	20	20	0	0
208	Young Behemoth	Behemoth A	65	622	216	4082	50D10	1	N	Long	Normal	2	250	80	2	0	Phys	51D51+24	0	0	0	0	0	65	0	0	0	95	165	165	165	130	95	165	95	95	0	0
209	Behemoth	Behemoth B	84	709	231	5714	100D10	1	N	Med	Aggress	2	260	70	2	0	Phys	58D58+28	0	0	0	0	0	84	0	0	0	110	180	180	180	145	110	180	110	110	0	0
210	Ancient Behemoth	Behemoth C	109	808	246	7999	200D10	1	N	Short	Suicidal	2	300	60	3	0	Phys	66D66+46	0	0	0	0	0	109	0	0	0	125	195	195	195	160	125	195	125	125	0	0
211	Floating Eye	Beholder A	32	259	176	1834	10%10D10+L4Ring	1	Y	Med	Aggress	3	140	70	S	Asleepx5	Water	35D36+32	Water	0	0	0	0	32	"Dispel Magic,E,4"	0	0	130	130	Imm	60	95	60	60	60	60	0	0
212	Gazer	Beholder B	41	295	191	2567	20%15D10+L5Ring	1	Y	Med	Aggress	3	160	60	SD	Afraidx5	Fire	40D41+15	Fire	0	0	0	0	41	"Dispel Magic,E,4"	0	0	Imm	145	75	145	110	75	75	75	75	0	0
213	Evil Eye	Beholder C	54	336	206	3593	30%20D10+L6Ring	1	Y	Short	Aggress	3	180	50	0	Insanex5	Air	46D47+18	Air	0	0	0	0	54	"Dispel Magic,E,4"	0	0	90	Imm	160	160	125	90	90	90	90	0	"shot,x3"
214	Acolyte of the Moon	Cleric Moon A	28	210	176	527	5%5D10+L2Mace	1	N	Med	Normal	2	160	90	CP	0	Air	33D34+8	Air	0	0	0	0	28	"Toxic Cloud,N,4"	0	0	44	44	44	44	9	44	44	0	Imm	0	0
215	Cleric of the Moon	Cleric Moon B	36	239	191	737	5%10D10+L3Mace	1	N	Med	Normal	2	180	90	CP	0	Air	38D38+9	Air	0	0	0	0	36	"Toxic Cloud,E,7"	0	"Bless,E,7"	61	61	61	61	16	61	61	10	Imm	0	0
216	Priest of the Moon	Cleric Moon C	47	273	206	1031	10%20D10+L4Mace	1	N	Med	Aggress	2	200	80	CP	0	Dark	43D44+6	Dark	0	0	0	0	47	"Shrapmetal,M,10"	0	"Power Cure,G,10"	78	78	78	78	23	78	78	20	Imm	0	0
217	Acolyte of the Sun	Cleric Sun A	28	210	176	527	5%5D10+L2Cape	1	N	Med	Normal	2	160	90	CP	0	Fire	33D34+8	Fire	0	0	0	0	28	"Light Bolt,N,6"	0	0	37	44	44	44	9	44	44	Imm	0	0	0
218	Cleric of the Sun	Cleric Sun B	36	239	191	737	5%10D10+L3Cape	1	N	Med	Normal	2	180	90	CP	0	Fire	38D38+9	Fire	0	0	0	0	36	"Light Bolt,N,15"	0	"Bless,E,7"	57	61	61	61	16	61	61	Imm	10	0	0
219	Priest of the Sun	Cleric Sun C	47	273	206	1031	10%20D10+L4Cape	1	N	Med	Aggress	2	200	80	CP	0	Light	43D44+6	Light	0	0	0	0	47	"Sunray,N,15"	0	"Power Cure,G,10"	78	78	78	78	23	78	78	Imm	20	0	0
220	Devil Worker	Devil A	41	386	198	2247	0	1	N	Med	Suicidal	2	200	60	0	Disease2x2	Phys	40D41+15	Fire	0	0	0	0	41	"Fireball,E,12"	0	0	Imm	130	60	130	130	60	60	60	130	0	0
221	Devil Warrior	Devil B	53	440	213	3145	0	1	N	Med	Aggress	2	250	50	0	Disease3x2	Phys	46D46+24	Fire	0	0	0	0	53	"Fireball,E,20"	0	"Meteor Shower,M,21"	Imm	145	75	145	145	75	75	75	145	0	0
222	Devil Captain	Devil C	69	501	228	4403	0	1	N	Short	Aggress	2	300	40	0	DrainSPx10	Phys	52D53+30	Fire	0	0	0	0	69	"Incinerate,M,56"	0	"Meteor Shower,M,29"	Imm	160	90	160	160	90	90	90	160	0	0
223	Green Dragon	ADragon A	98	1058	226	7798	250D10+L6	1	Y	Long	Aggress	4	240	70	2	0	Air	62D63+51	Air	0	0	0	0	98	"Lightning Bolt,M,29"	0	0	95	Imm	165	165	95	95	165	95	165	0	0
224	Blue Dragon	ADragon B	127	1206	241	10917	300D10+L6	1	Y	Med	Aggress	4	260	65	3	0	Water	71D72+16	Water	0	0	0	0	127	"Acid Burst,M,42"	0	0	180	180	Imm	110	110	110	180	110	180	0	0
225	Red Dragon	ADragon C	165	1375	256	15283	400D10+L6	1	Y	Short	Aggress	4	300	60	4	0	Fire	81D82+21	Fire	0	0	0	0	165	"Dispel Magic,E,4"	0	"Fireball,M,28"	Imm	195	125	195	125	125	195	125	195	0	0
226	Dragonfly	Dragonfly A	2	6	0	103	3D6	1	Y	Free	Normal	3	300	50	0	0	Phys	8D10	0	0	0	0	0	2	0	0	0	32	0	0	0	0	0	0	0	0	0	0
227	Fire Dragonfly	Dragonfly B	2	6	10	144	7D6	1	Y	Free	Normal	3	350	50	0	0	Phys	8D10	0	0	0	0	0	2	"Fire Bolt,N,2"	0	0	75	10	10	10	10	10	10	10	10	5	0
228	Queen Dragonfly	Dragonfly C	3	7	20	201	10D6	1	Y	Free	Normal	3	400	50	0	0	Phys	11D11	0	0	0	0	0	3	"Fire Bolt,N,3"	0	0	118	20	20	20	20	20	20	20	20	10	0
